Track ID,Track Name,Album Name,Artist Name(s),Duration (ms),Popularity,Genres,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2iTma4kHADFcTlR24R8hIP,Dog Nightmare,Pop Food,Jack Stauber,175677,45,,0.7,0.448,4,-13.016,0.11,0.743,0.458,0.179,0.731,153.992,4
3la5OesvyTzhCuIhnkJT4E,Touch-Tone Telephone,Spirit Phone,Lemon Demon,282736,52,,0.626,0.701,0,-8.923,0.0496,0.179,0.000441,0.177,0.566,160.148,4
49qujGctHLuEXF35sWwG2c,The Ballad of Jane Doe,Ride the Cyclone: The Musical (World Premiere Cast Recording),"Emily Rohm,The Ride the Cyclone World Premiere Cast Recording Ensemble",299680,52,musicals,0.33,0.285,5,-12.513,0.0393,0.642,0,0.177,0.156,119.555,3
3J3el7ujZSlcnEzpRbMokZ,Poop and Fart,Poop and Fart,Peter Chao,269088,37,,0.837,0.574,5,-7.979,0.0717,0.0194,0.00000323,0.176,0.723,130.067,4
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,Speakerboxxx/The Love Below,Outkast,235213,77,"southern hip hop,hip hop",0.727,0.974,4,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,4
1BHse4ulQefGTZZIeziZqr,Good Lookin',Good Lookin',Dixon Dallas,166839,54,,0.756,0.555,7,-6.528,0.0286,0.196,0,0.174,0.543,106.968,4
3H9GJ6fKk7I2jxzcjGB3vh,4 BIG GUYS,DIGBARGAYRAPS THE ALBUM,DigBar,109644,52,meme rap,0.775,0.852,2,-4.165,0.28,0.119,0,0.172,0.375,125.913,4
5fhVoFfw15NZKkrVpIZ4QW,Fortnite Balls,Fortnite Balls,StinkySergeant,91728,0,,0.816,0.863,4,0.404,0.529,0.236,0,0.17,0.653,120.065,4
463r5bsN1VqGXtaMctn4Rr,It's Been So Long,It's Been So Long,The Living Tombstone,174394,65,,0.564,0.647,10,-6.759,0.0407,0.114,0,0.17,0.458,95.923,4
2VOomzT6VavJOGBeySqaMc,Disturbia,Good Girl Gone Bad: Reloaded,Rihanna,238626,75,,0.707,0.814,11,-4.509,0.0577,0.0861,0,0.168,0.717,124.921,4
3RKjTYlQrtLXCq5ncswBPp,"Hey, Mickey!","Hey, Mickey!",Baby Tate,115555,62,,0.912,0.507,2,-11.952,0.0587,0.579,0,0.167,0.725,134.978,4
15RSD04RKmM1fjrBONNtqK,Chug Jug With You (Number One Victory Royale),Chug Jug With You (Number One Victory Royale),LeviathanJPTV,185084,46,,0.616,0.587,4,-9.911,0.486,0.706,0,0.163,0.478,117.522,4
1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,Spice,Spice Girls,173026,76,,0.768,0.864,11,-6.149,0.0324,0.101,0,0.162,0.891,110.009,4
1rRwwqteLePmi70PGaC8ah,Arms Tonite,O My Heart,Mother Mother,216666,0,,0.687,0.646,4,-3.841,0.039,0.0973,0.000593,0.161,0.323,139.978,4
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SOS,SZA,153946,82,r&b,0.644,0.735,8,-5.747,0.0391,0.0521,0.144,0.161,0.418,88.98,4
3W2s12opBKPQrUkTyj98MI,Dinner Is Not Over,Dinner Is Not Over / There's Something Happening / Keyman / Cupid,Jack Stauber's Micropop,280350,52,,0.718,0.646,3,-7.602,0.0318,0.698,0.00832,0.161,0.446,130.091,4
32XPs7Frm2dQRI4BraStaX,Problems,Eureka,Mother Mother,207533,60,,0.629,0.85,1,-3.653,0.0261,0.00802,0.0284,0.155,0.525,104.034,4
2s0ouHqJebHfiQ6C1GUFJd,Milkshake - Radio Mix,Tasty,Kelis,182626,52,,0.891,0.77,1,-6.124,0.0439,0.00862,0.0315,0.155,0.819,112.997,4
2gam98EZKrF9XuOkU13ApN,Promiscuous,Loose,"Nelly Furtado,Timbaland",242293,80,,0.808,0.97,10,-6.098,0.0504,0.0573,0.0000617,0.154,0.868,114.328,4
4IRHwIZHzlHT1FQpRa5RdE,Goodbye Yellow Brick Road - Remastered 2014,Goodbye Yellow Brick Road (Remastered),Elton John,192826,70,,0.559,0.473,5,-7.712,0.0279,0.446,0.00141,0.154,0.397,121.227,4
5JKnYZOhSP7rOK0jPYcCjV,t r a n s p a r e n t s o u l feat. Travis Barker,lately I feel EVERYTHING,"WILLOW,Travis Barker",168398,58,rap rock,0.374,0.83,11,-5.203,0.0584,0.00213,0,0.15,0.204,90.19,4
266Vb7ItE3o1q8HdJ9QOvn,Verbatim,Touch Up,Mother Mother,168320,1,,0.827,0.58,7,-6.809,0.327,0.309,0,0.148,0.492,78.011,4
0mO6oS60RST2sWmN2FKknP,One More Hour,The Slow Rush,Tame Impala,432560,68,"indie,psychedelic pop",0.647,0.398,4,-8.63,0.0283,0.108,0.107,0.148,0.32,102.029,4
76mIubQORy7hAXld3mavAN,Toad Sings Hallelujah Chorus,The Toad Album,Toad,240600,23,,0.506,0.253,2,-14.556,0.0334,0.912,0.88,0.147,0.424,100.872,4
3GYlZ7tbxLOxe6ewMNVTkw,TV,Guitar Songs,Billie Eilish,281380,80,,0.412,0.236,4,-15.159,0.0379,0.83,0.00653,0.147,0.119,140.214,4
1hz7SRTGUNAtIQ46qiNv2p,"GONE, GONE / THANK YOU",IGOR,"Tyler, The Creator",375386,73,,0.518,0.492,10,-8.436,0.193,0.216,0.0012,0.146,0.471,78.848,4
5FXn5JHL50tDPMITGun9zh,Girls In Bikinis,Am I A Girl?,Poppy,145272,54,,0.886,0.893,6,-2.713,0.0612,0.116,0.0737,0.145,0.814,116.01,4
5toKOQ86ydhA5UJ8DfENzy,Running Away,Running Away,"VANO 3000,BADBADNOTGOOD,Samuel T. Herring",111786,57,,0.614,0.687,7,-10.877,0.0415,0.687,0.874,0.145,0.704,93.25,4
4QEIx7L0dxINrkJLCuQZGS,Whopper Whopper,You Rule. Jingles,Burger King,60060,47,,0.841,0.558,2,-12.037,0.103,0.196,0,0.143,0.816,105.042,4
1pNUmVxDiE8t6P1XxcZAv8,Scrawny,Nothing Happens,Wallows,166520,60,indie,0.639,0.816,6,-5.28,0.0485,0.000985,0.0604,0.141,0.802,138.008,4
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Glimpse of Us,Joji,233456,42,,0.44,0.317,8,-9.258,0.0531,0.891,0.00000478,0.141,0.268,169.914,3
